Txn ID,Txn Date,Source Type,Source ID,Batch Code,SKU,Product Name,Variant / Color,Warehouse,Qty In,Qty Out,Unit Cost (EGP),Total Cost (EGP),Currency,Unit Price (Orig),Notes
TXN-B76D0AABD1A8,2025-12-26,QC_UAE,QC-000010,272055875001026833||BEST-M,BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",ATTIA,20,0,107.95,2159.00,AED,32.385,"Imported from QC_UAE (QC ID: QC-000010, row 2, Order 272055875001026833)"
TXN-FD53AAEDCE9E,2025-12-26,QC_UAE,QC-000001,XAE20250714368000075441||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,KOR,1,0,302.26,302.26,AED,151.13,"Imported from QC_UAE (QC ID: QC-000001, row 3, Order XAE20250714368000075441)"
TXN-D4449DE9EF4F,2025-12-26,QC_UAE,QC-000002,XAE20250714368000075441||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,KOR,1,0,302.26,302.26,AED,151.13,"Imported from QC_UAE (QC ID: QC-000002, row 4, Order XAE20250714368000075441)"
TXN-DFDF8BB95701,2025-12-26,QC_UAE,QC-000003,XAE20250714368000075441||HYUNDAI-CO3-BLACK,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,KOR,1,0,302.26,302.26,AED,151.13,"Imported from QC_UAE (QC ID: QC-000003, row 5, Order XAE20250714368000075441)"
TXN-ECAD5B4A20C9,2025-12-26,QC_UAE,QC-000004,XAE20250714368000075441||HYUNDAI-CO3-WHITE,HYUNDAI-CO3-WHITE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,White,KOR,1,0,302.26,302.26,AED,151.13,"Imported from QC_UAE (QC ID: QC-000004, row 6, Order XAE20250714368000075441)"
TXN-2EE85863BC38,2025-12-26,QC_UAE,QC-000005,XAE20250714368000075441||HYUNDAI-CO3-PURPLE,HYUNDAI-CO3-PURPLE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Purple,KOR,1,0,302.26,302.26,AED,151.13,"Imported from QC_UAE (QC ID: QC-000005, row 7, Order XAE20250714368000075441)"
TXN-0144C80526FF,2025-12-26,QC_UAE,QC-000006,3057626187836027||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 5.4,MQT65 Beige,KOR,3,0,291.12,873.36,AED,116.448,"Imported from QC_UAE (QC ID: QC-000006, row 8, Order 3057626187836027)"
TXN-AB272046696D,2025-12-26,QC_UAE,QC-000007,3057626187836027||MONSTER-MQT65-PURPLE,MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,ATTIA,5,0,291.12,1455.60,AED,116.448,"Imported from QC_UAE (QC ID: QC-000007, row 9, Order 3057626187836027)"
TXN-219BAF19549F,2025-12-26,QC_UAE,QC-000008,3057626187836027||MONSTER-MQT65-BLACK,MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,KOR,4,0,291.12,1164.48,AED,116.448,"Imported from QC_UAE (QC ID: QC-000008, row 10, Order 3057626187836027)"
TXN-4B3348FF72BB,2025-12-26,QC_UAE,QC-000009,3057626187836027||MONSTER-MQT65-BEIGE,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Beige,ATTIA,5,0,291.12,1455.60,AED,116.448,"Imported from QC_UAE (QC ID: QC-000009, row 11, Order 3057626187836027)"
