Shipment ID,Forwarder,Courier,AWB / Tracking,Box ID,Ship Date,ETA,Actual Arrival,Status,Warehouse (UAE),SKU,Product Name,Variant / Color,Qty,Qty Synced,Ship Cost (EGP) – per unit or box,Customs (EGP),Other (EGP),Total Cost (EGP),Line ID,Notes
272055875001026833,,Attia,,,2025-08-15,,2025-08-20,Arrived EG,ATTIA,BEST-M,Best-selling New Products Butterfly ...,"Pink, Size: M",20,20,50,,100,1100.00,L-160985c3-5fa8-4efc-8fa2-2b0b73a0bfc1,Seeded from Inventory_UAE (OnHand: 20)
XAE20250714368000075441,,Kor,,,2025-07-20,,2025-07-25,Arrived EG,KOR,HYUNDAI-CO3-BLACK,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Black,3,3,300,,30,930.00,L-eeaeb8aa-7326-4a91-b16f-a94d600f9621,Seeded from Inventory_UAE (OnHand: 3)
XAE20250714368000075441,,Kor,,,2025-07-20,,2025-07-25,Arrived EG,KOR,HYUNDAI-CO3-WHITE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,White,1,1,300,,10,310.00,L-b0795e7c-d345-496a-8a93-3fd0a4259e8f,Seeded from Inventory_UAE (OnHand: 1)
XAE20250714368000075441,,Kor,,,2025-07-20,,2025-07-25,Arrived EG,KOR,HYUNDAI-CO3-PURPLE,HYUNDAI HY-CO3 Minimalist Bluetooth Earphones,Purple,1,1,300,,10,310.00,L-46053922-51f5-47be-b1bf-20747a6e6903,Seeded from Inventory_UAE (OnHand: 1)
3057626187836027,,Kor,,,2025-07-25,,2025-07-27,Arrived EG,KOR,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 5.4,MQT65 Beige,3,3,300,,30,930.00,L-559ba1ab-b9f2-4042-9ceb-93184a33b113,Seeded from Inventory_UAE (OnHand: 3)
3057626187836027,,Attia,,,2025-07-25,,2025-07-27,Arrived EG,ATTIA,MONSTER-MQT65-PURPLE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Purple,5,5,300,,50,1550.00,L-79f778ed-30a9-4258-8e71-10675a5ff93c,Seeded from Inventory_UAE (OnHand: 5)
3057626187836027,,Kor,,,2025-07-25,,2025-07-27,Arrived EG,KOR,MONSTER-MQT65-BLACK,Monster MQT65 OWS Bluetooth 6.0,MQT65 Black,4,4,300,,40,1240.00,L-541427d3-47c5-4895-b9c5-6188b179c331,Seeded from Inventory_UAE (OnHand: 4)
3057626187836027,,Attia,,,2025-07-25,,2025-07-27,Arrived EG,ATTIA,MONSTER-MQT65-BEIGE,Monster MQT65 OWS Bluetooth 6.0,MQT65 Beige,5,5,300,,50,1550.00,L-caf0b3bd-27cc-4687-a22e-28807e711ef4,Seeded from Inventory_UAE (OnHand: 5)
272055875001026833,,Attia,,,2025-08-15,,2025-08-20,Arrived EG,ATTIA,HOT-M,Hot Selling Tiktok Earphone Jewelry Bras...,"Pink, Size: M",20,20,50,,100,1100.00,L-be4b7e8c-6b4c-483f-b3ca-9e62e33ca270,Seeded from Inventory_UAE (OnHand: 20)
272055875001026833,,Attia,,,2025-08-15,,2025-08-20,Arrived EG,ATTIA,FACTORY-MULTI,Factory OEM Butterfly Open Ear Freeclip...,Multi,20,20,50,,100,1100.00,L-4c07726f-4748-44ff-a2e4-e61190fb6c35,Seeded from Inventory_UAE (OnHand: 20)
